fingerprint, ipaddr, port
07ACFB0801E4F74F5610F870B5FCBB5539DBCBD1, 2a06:d380:0:103::63, 9001
07C76EC5CC5CFDA80DE3082BC2F007105E2FC2EE, 192.42.116.189, 9002
07C76EC5CC5CFDA80DE3082BC2F007105E2FC2EE, 2001:67c:6ec:203:192:42:116:189, 9002
07D4BC4DF4E56D4483ED95AF3800153D1CC21365, 82.165.34.36, 443
07F0E652E4CCB0A0F1E88D0046ECB322E6318C86, 78.138.98.42, 9001
07F8E2C1FC792B083947381287EC9B6CF818A778, 78.47.209.124, 333
0806B64E53BD3ED2F0BDB5EED8DBF81DF331F45A, 185.241.208.206, 9200
0823ECB30EC0E634ACF0B143127320A828258DA8, 135.148.27.19, 443
0823ECB30EC0E634ACF0B143127320A828258DA8, 2604:2dc0:101:200::1f45, 443
0824D7C7FB117D5C6AC01581FD798E670C37C804, 80.66.135.123, 9001
08394C4873C8A71BE9F53593F9B4AD694BFCDB90, 185.56.171.94, 9001
085527CBD6485FD475AC983FA8683A2D9028BAA8, 68.171.179.124, 8234
0863252662246FFF6914F380711C75DC4027BD75, 185.241.208.236, 143
08B8F84862FA682BDF6DFC38041462CE80B70172, 51.178.140.180, 443
08BCE55592BD5B2DDE69967C5D144FB2A6DB076E, 2.57.122.246, 9600
08CB84956340C2DBD6E22DEA25CA53F750BB5AE1, 195.154.168.209, 9200
08CD9D4224058DC97A1F27679A5BEE5724C4C6EC, 195.123.212.113, 1357
08CD9D4224058DC97A1F27679A5BEE5724C4C6EC, 2a02:27ac::120, 1357
08CE3DBFDAA27DB6C044A677AF68D7235C2AFC85, 195.176.3.20, 8443
08CE3DBFDAA27DB6C044A677AF68D7235C2AFC85, 2001:620:20d0::20, 8443
08E64079B97D9BA990A2DCAC105F9BBC3B2AE276, 2.56.98.134, 443
08E64079B97D9BA990A2DCAC105F9BBC3B2AE276, 2a03:4000:3e:568:446c:e7ff:fe7d:de4f, 443
08F4FD01699457DE5E62743B096B04F5D21FAEDC, 193.41.226.216, 9200
08F90650CE12758841FBB3453EDDD2F9338BE5BC, 89.58.5.0, 587
08F90650CE12758841FBB3453EDDD2F9338BE5BC, 2a03:4000:5e:c47::1, 587
090B83BA95A7E2D615D6799EFD757DE2DDC7D0FE, 54.39.234.91, 9002
0932F9009DCF32EC60FD52F975318D3F6E8E59F9, 107.189.7.168, 8443
0936092B5C0E1B548FEA922B65E3A2F83348117F, 46.38.255.10, 1443
0936092B5C0E1B548FEA922B65E3A2F83348117F, 2a03:4000:19:13c:88c5:80ff:fe09:93d7, 1443
0947B12441F69611D7DF7FA94D9188F7AA2B79FF, 5.9.14.30, 143
0947B12441F69611D7DF7FA94D9188F7AA2B79FF, 2a01:4f8:160:8410::3, 143
094B8640B020BECC2AF842173EA06276CA67B08F, 31.14.252.98, 9001
09768BD9ACA211008713BA481E0B8EE3239A9F0B, 45.141.215.169, 143
097D8390A998FBEBDBDA80BAC7D86F8AE606E4A6, 93.95.231.110, 9001
098F98538A21A16332E8C4B724305C2A3496A467, 199.195.250.165, 9000
098F98538A21A16332E8C4B724305C2A3496A467, 2605:6400:10:aa1:2db8:1c14:2191:4aa8, 9000
09A5115DDD6179B339AD7D1930BAA1DE1F2DF61E, 93.90.74.31, 9002
09A5115DDD6179B339AD7D1930BAA1DE1F2DF61E, 2a0e:97c0:470::30, 9002
09AEBB996358FE22A268E71CDE038106F2B6EAE1, 62.210.205.228, 8080
09AF5C7A59852EF44FF56D30C01D5F412FD19786, 74.208.182.78, 9001
09BFE6A362D2CE435C45F99B56171B6DA486D0F1, 89.58.33.214, 443
09BFE6A362D2CE435C45F99B56171B6DA486D0F1, 2a03:4000:64:d6f:3855:34ff:fe06:ba9, 443
09C375184DE999CE1B4AC034190F5A9F916479F9, 45.128.232.77, 443
09C375184DE999CE1B4AC034190F5A9F916479F9, 2a05:b0c7:6397::1, 443
09CA1957EC0671044DAD2EEA282A348FFD7D271E, 107.189.8.133, 9000
09CA1957EC0671044DAD2EEA282A348FFD7D271E, 2605:6400:30:ea86:59b6:d4c6:5192:1a19, 9000
09E4E0B3DB627BEA7C3B655AF233F43B557F6B93, 179.61.251.32, 9001
09E4E0B3DB627BEA7C3B655AF233F43B557F6B93, 2a0f:5707:aaf1:408::1, 9001
09E5621C0D7400FC18EF137A679F7FEB78F8650C, 192.42.116.212, 9001
09E5621C0D7400FC18EF137A679F7FEB78F8650C, 2001:67c:6ec:203:192:42:116:212, 9001
09F1936587D5A82ABCD79B11599C044E72C13840, 185.163.45.253, 443
09F4736B37FA72AC7399F71F917F895D3CF22685, 135.148.149.23, 21
09F4736B37FA72AC7399F71F917F895D3CF22685, 2604:2dc0:101:200::b63, 21
09F64E00F34C88F604163F24D37BEAF9245702EA, 98.115.87.163, 443
09F9CD95B472256DFDFF666A0CFD82A3F3CE3514, 51.89.106.29, 9001
0A0C01DD0044E70318D9E3DA5F125A09069C57C1, 185.198.26.149, 9001
0A0C01DD0044E70318D9E3DA5F125A09069C57C1, 2a04:bdc7:100:16::1, 9001
0A11C7546A1332412D1EBD13BD4C3D6A6644D7E0, 107.189.30.69, 9001
0A1754593C3DBF5B5B35C04D608E37F28256B35F, 83.0.60.229, 1315
0A3AAF530747D7034DBF88C518033A22827E3C46, 45.141.215.56, 9100
0A4EF6ADA08FFC088AAA7F22BF1690193CA3862E, 142.44.227.24, 9001
0A58B825C1159C2778BDA4817F10CB1DA4D6865D, 86.125.246.209, 9001
