fingerprint, ipaddr, port
11A2C7E4629BC8F2AE8188CFF6421F1FBDD2A8CE, 2a0b:f4c2:2::42, 10042
11C7F8EEEE7445618DD7DE562F7D1218B5DB4B2E, 178.20.55.182, 4443
11C7F8EEEE7445618DD7DE562F7D1218B5DB4B2E, 2a00:1b88:4::4, 4443
11CE9C1707A876F9607C2A3ACD8E76B0E8E42977, 2.57.122.215, 9200
121820DD492FD07AEE11DCF852E52AFF4A7D636B, 109.70.100.70, 8080
121820DD492FD07AEE11DCF852E52AFF4A7D636B, 2a03:e600:100::70, 8080
127E803888D82F33CC3C311ECC6CCEB7708831CB, 45.141.215.167, 110
127F6358F68FFB7E437DBA51D6D4DAC47B9F78A7, 5.2.67.226, 443
127F6358F68FFB7E437DBA51D6D4DAC47B9F78A7, 2a04:52c0:101:46a::, 443
12CD9B24FB7F981E800F86A37DEFA47B4AE572DC, 78.142.18.219, 8444
12DA2492D3360C7FC101A6919894208A645965A5, 193.148.18.122, 443
12F055809E158CFA25FBC434D974D74F18AC2F1A, 192.42.116.194, 9003
12F055809E158CFA25FBC434D974D74F18AC2F1A, 2001:67c:6ec:203:192:42:116:194, 9003
130CFCF38BA3327E3001A1DB2A4B5ACBDAE248D9, 45.141.215.62, 7430
132395E199674BC4E65EA90DA0150D51D12B8221, 91.206.26.26, 443
132395E199674BC4E65EA90DA0150D51D12B8221, 2001:67c:2044:1905::26, 443
13336CF361D6A310E4E7B9E745F34359C40DBF79, 206.237.98.52, 61004
13336CF361D6A310E4E7B9E745F34359C40DBF79, 2a03:4000:55:efb::1003, 61004
1358B726FC6A0D2D15417B0376B3E42D48C50211, 192.42.116.211, 9002
1358B726FC6A0D2D15417B0376B3E42D48C50211, 2001:67c:6ec:203:192:42:116:211, 9002
139C86C4C9BC94E89BAF79B15EBFDF9396DD5BB0, 204.8.96.156, 443
139C86C4C9BC94E89BAF79B15EBFDF9396DD5BB0, 2620:7:6001::156, 80
13CADC9E09F30AF24A98B44E88323DB655A803E9, 45.138.16.230, 110
13DF6B8C6D41FA401616D70E7B925320A778CB90, 192.42.116.216, 9001
13DF6B8C6D41FA401616D70E7B925320A778CB90, 2001:67c:6ec:203:192:42:116:216, 9001
13FB26F9361F803AD190FE88B35E241DC084B026, 185.220.101.102, 993
13FB26F9361F803AD190FE88B35E241DC084B026, 2a0b:f4c2:4::102, 993
13FBC97516DC854399E70BC7CA9A4513FFD4F08C, 198.98.48.20, 9000
13FBC97516DC854399E70BC7CA9A4513FFD4F08C, 2605:6400:10:c39:3b1c:a9d9:fb78:d7f1, 9000
1404A2E9A3CCF6C1AC5F1BAD88AB8B6F880E1C59, 94.103.124.98, 9000
1404A2E9A3CCF6C1AC5F1BAD88AB8B6F880E1C59, 2a05:b0c7:67bb::1, 9000
140E4FC6202FE17F46337058FC9848FA9055482B, 45.138.16.42, 143
1428F24895102AFD9DF515DABAE5DFE7F6C5DA06, 193.218.118.91, 9001
144443B8FBB60C730B14D9351FE59AD85A74C3DF, 185.220.101.23, 9004
144443B8FBB60C730B14D9351FE59AD85A74C3DF, 2a0b:f4c2::23, 9004
147321EDE839D266601E65A7FAAD306749B1EEC5, 165.73.242.163, 443
147B1C6E1D4D874BB2949E90F807572265ACAFBE, 192.42.116.173, 9003
147B1C6E1D4D874BB2949E90F807572265ACAFBE, 2001:67c:6ec:203:192:42:116:173, 9003
149E584199DAD5966FADAA07F4652EB15E9FC658, 107.189.31.232, 9000
149E584199DAD5966FADAA07F4652EB15E9FC658, 2605:6400:30:ea58:51a1:e174:d185:d6f1, 9000
14AE2154A26F1D42C3C3BEDC10D05FDD9F8545BB, 179.43.182.232, 443
14AED36D57CD8EC91432279F171B6E7A94321456, 2.57.122.58, 9200
1532A36172C70012B1057FBBFAFE2734EDBF4A3B, 77.81.247.72, 993
155D6F57425F16C0624D77777641E4EB1B47C6F0, 204.8.96.108, 443
155D6F57425F16C0624D77777641E4EB1B47C6F0, 2620:7:6001::108, 80
157D3BB79D08BC669BFF745A1E01825F6E3C87BA, 109.70.100.6, 9002
157D3BB79D08BC669BFF745A1E01825F6E3C87BA, 2a03:e600:100::6, 9002
15C22735C0EF99F283BB3363EA693D41F417252C, 192.42.116.191, 9001
15C22735C0EF99F283BB3363EA693D41F417252C, 2001:67c:6ec:203:192:42:116:191, 9001
15C2FFABEB99D34AEA28EF01DF34D7BF00938D38, 83.217.9.73, 9001
15C2FFABEB99D34AEA28EF01DF34D7BF00938D38, 2a05:541:121:33::1, 9001
161B438BD8E2190310A562C7FEED23C8969682DE, 2.58.95.38, 9200
16355C1C0B02AF69618AE6A517A526B8A6B98B9B, 104.244.72.132, 9000
16355C1C0B02AF69618AE6A517A526B8A6B98B9B, 2605:6400:30:f82f:7de1:3de3:8947:bc6a, 9000
166264168E8CCCBB2444ADE0F0A22E4E6DDEF6FD, 87.118.116.90, 444
